ID_POLYGON,SIOSE_CODE,SIOSE_XML,SUPERF_HA,CODBLQ,OBS_C,OBS_N,Shape_Leng,Shape_Area,SUP_HA,clip_area_m2,clip_area_ha,ID_COBER,CODE_ABREV,DESC_COBER,SUPERF_POR,ATRIBUTOS,org_type,old_label
018d23e8-8420-4ae3-aed3-8dadb86dd507,UEN(70EDFvd_15ZAU_10VAP_05LAA),,14.36073831114,10,,,1683.75349902266,143607.383111382,14.36073831114,143607.38311138225,14.360738311138226,812,UEN,Ensanche,100.0,,RES,ID_COBER=812 | CODE_ABREV=UEN | DESC_COBER=Ensanche | SIOSE_CODE=UEN(70EDFvd_15ZAU_10VAP_05LAA)
00fccee7-befa-485b-bca4-c81c134b7ece,LFNsc,,2.60306757698,10,,,881.26288314969,26030.6757698166,2.60306757698,26030.675769816593,2.603067576981659,223,LFN,Frutales No Cítricos,100.0,31,N/A,ID_COBER=223 | CODE_ABREV=LFN | DESC_COBER=Frutales No Cítricos | SIOSE_CODE=LFNsc
0567a0ab-182b-4af3-8398-0c83c99eeaf8,A(65CNFpl_35PST),,27.50991512686,10,,,3668.5570642924,275099.151268615,27.50991512686,275099.1512686151,27.50991512686151,600,,No Predefinida,100.0,11,N/A,ID_COBER=600 | CODE_ABREV=missing | DESC_COBER=No Predefinida | SIOSE_CODE=A(65CNFpl_35PST)
33363f1d-3705-403a-b084-ce9e9416084d,PMX(75ZEV_10VAP_10SNE_05EDFnv),,9.53559991657,10,,,1627.07105944778,95355.9991656637,9.53559991657,95355.99916566367,9.535599916566367,833,PMX,Minero Extractivo,100.0,,NON_RES,ID_COBER=833 | CODE_ABREV=PMX | DESC_COBER=Minero Extractivo | SIOSE_CODE=PMX(75ZEV_10VAP_10SNE_05EDFnv)
53d3d685-65d0-42dd-a93d-24f5a0f7befd,R(50LFCsc_50UDS(50EDFva_20ZAU_20SNE_10VAP)),,9.94216765304,10,,,2373.34950195862,99421.676530433,9.94216765304,99421.67653043306,9.942167653043306,600,,No Predefinida,100.0,12,RES,ID_COBER=600 | CODE_ABREV=missing | DESC_COBER=No Predefinida | SIOSE_CODE=R(50LFCsc_50UDS(50EDFva_20ZAU_20SNE_10VAP))
5048b38f-32f7-42bd-bcf3-296d1641f24e,EDU(30ZAU_25EDFea_25OCT_20VAP),,1.07530920986,10,,,400.37066701441,10753.092098618,1.07530920986,10753.092098617966,1.0753092098617967,854,EDU,Educación,100.0,,NON_RES,ID_COBER=854 | CODE_ABREV=EDU | DESC_COBER=Educación | SIOSE_CODE=EDU(30ZAU_25EDFea_25OCT_20VAP)
08435952-12f9-43a7-a7ab-b829d3689171,PSTpc,,7.06462211537,10,,,1390.97247563727,70646.2211537476,7.06462211537,70646.22115374764,7.064622115374764,300,PST,Pastizal,100.0,46,N/A,ID_COBER=300 | CODE_ABREV=PST | DESC_COBER=Pastizal | SIOSE_CODE=PSTpc
086bfe0e-5899-41e0-be14-f2ff0bbdf0fe,R(80PST_10UDS(35ZAU_25EDFva_20VAP_20SNE)_10IAS(80SNE_20OCT)),,4.24663836965,10,,,1077.79261418796,42466.38369654,4.24663836965,714.909460673072,0.0714909460673072,600,,No Predefinida,100.0,12,RES,ID_COBER=600 | CODE_ABREV=missing | DESC_COBER=No Predefinida | SIOSE_CODE=R(80PST_10UDS(35ZAU_25EDFva_20VAP_20SNE)_10IAS(80SNE_20OCT))
10fa83a5-c0be-47b4-859b-1679df64c1b5,R(85PSTpc_15EDFva),,31.44035961765,10,,,4235.13720942404,314403.596176502,31.44035961765,314403.5961765024,31.44035961765024,600,,No Predefinida,100.0,12,N/A,ID_COBER=600 | CODE_ABREV=missing | DESC_COBER=No Predefinida | SIOSE_CODE=R(85PSTpc_15EDFva)
18321e33-8fe9-4b70-920c-7ce5dca10763,NRV(95VAP_05OCT),,3.27163667074,10,,,2465.75537545858,32716.3667074135,3.27163667074,32716.366707413483,3.2716366707413482,881,NRV,Red Viaria,100.0,,N/A,ID_COBER=881 | CODE_ABREV=NRV | DESC_COBER=Red Viaria | SIOSE_CODE=NRV(95VAP_05OCT)
1537542c-4d49-48d9-96c3-b2f0fc9b4007,R(60LFNsc_20LOLsc_20PSTpc),,49.62840903518,10,,,5191.79185838676,496284.090351752,49.62840903518,493817.7525511109,49.381775255111094,600,,No Predefinida,100.0,12,N/A,ID_COBER=600 | CODE_ABREV=missing | DESC_COBER=No Predefinida | SIOSE_CODE=R(60LFNsc_20LOLsc_20PSTpc)
